NowYear, NowMonth, NowPrecip, NowTemp, NowHeight, NowNumRabbits, NowNumMutants
2023    , 0       , 14.2290   , 46.3435   , 499.0972  , 6       , 0       
2023    , 1       , 13.6186   , 54.0908   , 496.1935  , 7       , 0       
2023    , 2       , 16.9366   , 51.5281   , 503.2782  , 8       , 0       
2023    , 3       , 16.0796   , 60.7319   , 504.2291  , 9       , 0       
2023    , 4       , 15.3439   , 73.6901   , 514.2803  , 10      , 0       
2023    , 5       , 13.0889   , 76.6142   , 507.2950  , 11      , 1       
2023    , 6       , 12.6295   , 88.3631   , 497.5500  , 12      , 1       
2023    , 7       , 10.0408   , 76.8564   , 485.5562  , 13      , 1       
2023    , 8       , 8.5642    , 58.0084   , 473.5539  , 14      , 1       
2023    , 9       , 7.1078    , 45.1496   , 473.8586  , 15      , 1       
2023    , 10      , 10.3883   , 38.6025   , 460.2293  , 16      , 1       
2023    , 11      , 10.5685   , 33.8151   , 444.4096  , 17      , 1       
2024    , 12      , 11.4705   , 33.2773   , 427.4283  , 18      , 1       
2024    , 13      , 13.7015   , 55.8364   , 409.4432  , 19      , 1       
2024    , 14      , 17.2202   , 55.0823   , 407.2449  , 20      , 1       
2024    , 15      , 15.0478   , 67.4292   , 401.4017  , 21      , 1       
2024    , 16      , 14.9256   , 76.8932   , 391.7928  , 22      , 2       
2024    , 17      , 14.9264   , 79.1902   , 370.9354  , 23      , 2       
2024    , 18      , 12.0502   , 75.1688   , 348.4343  , 24      , 2       
2024    , 19      , 10.2512   , 74.6770   , 326.3628  , 25      , 2       
2024    , 20      , 9.7024    , 63.1809   , 303.3787  , 26      , 2       
2024    , 21      , 7.5461    , 50.4899   , 292.4058  , 27      , 2       
2024    , 22      , 10.8477   , 52.0124   , 270.7435  , 28      , 2       
2024    , 23      , 12.7620   , 32.0766   , 252.3106  , 29      , 2       
2025    , 24      , 11.3795   , 41.2014   , 223.3187  , 30      , 2       
2025    , 25      , 15.4813   , 39.7021   , 193.8638  , 31      , 2       
2025    , 26      , 15.2593   , 62.6283   , 163.1816  , 32      , 2       
2025    , 27      , 13.9438   , 56.4598   , 149.5531  , 33      , 3       
2025    , 28      , 13.0808   , 73.2962   , 134.1966  , 34      , 3       
2025    , 29      , 14.9178   , 74.0841   , 103.5818  , 35      , 3       
2025    , 30      , 12.3684   , 87.3627   , 71.3101   , 36      , 3       
2025    , 31      , 9.3306    , 69.4755   , 35.3210   , 37      , 3       
2025    , 32      , 9.1773    , 62.6805   , 4.8736    , 36      , 3       
2025    , 33      , 8.8072    , 55.0743   , 0.0000    , 35      , 3       
2025    , 34      , 7.3287    , 46.4900   , 0.0000    , 34      , 3       
2025    , 35      , 12.6921   , 39.4342   , 0.0000    , 33      , 3       
2026    , 36      , 13.9191   , 49.2977   , 0.0000    , 32      , 3       
2026    , 37      , 15.7826   , 41.5437   , 0.0000    , 31      , 2       
2026    , 38      , 15.2799   , 57.6232   , 0.0000    , 30      , 2       
2026    , 39      , 14.5276   , 68.9336   , 0.0000    , 29      , 2       
2026    , 40      , 16.3487   , 72.9442   , 0.0000    , 28      , 2       
2026    , 41      , 12.3566   , 85.9025   , 0.0000    , 27      , 2       
2026    , 42      , 12.5382   , 73.8979   , 0.0000    , 26      , 2       
2026    , 43      , 9.9183    , 71.1493   , 0.0000    , 25      , 2       
2026    , 44      , 8.4909    , 74.3057   , 0.0000    , 24      , 2       
2026    , 45      , 9.5710    , 57.9697   , 0.0000    , 23      , 2       
2026    , 46      , 10.8675   , 44.6491   , 0.0000    , 22      , 2       
2026    , 47      , 12.2238   , 38.6502   , 0.0000    , 21      , 2       
2027    , 48      , 14.6792   , 44.3659   , 0.0000    , 20      , 1       
2027    , 49      , 13.6917   , 45.5077   , 0.0000    , 19      , 1       
2027    , 50      , 17.5442   , 63.8287   , 0.0000    , 18      , 1       
2027    , 51      , 17.3880   , 58.1296   , 0.0000    , 17      , 1       
2027    , 52      , 14.5562   , 76.9637   , 0.2182    , 16      , 1       
2027    , 53      , 12.1595   , 81.7104   , 0.0000    , 15      , 1       
2027    , 54      , 10.1946   , 85.0386   , 0.0000    , 14      , 1       
2027    , 55      , 8.0760    , 73.0828   , 0.0000    , 13      , 1       
2027    , 56      , 7.2412    , 58.9271   , 0.0000    , 12      , 1       
2027    , 57      , 7.8023    , 55.9525   , 0.5210    , 11      , 1       
2027    , 58      , 10.7988   , 39.2500   , 1.0839    , 10      , 1       
2027    , 59      , 9.4690    , 32.7449   , 0.0000    , 9       , 0       
2028    , 60      , 14.0772   , 40.5904   , 0.0000    , 8       , 0       
2028    , 61      , 16.5684   , 55.5529   , 0.0000    , 7       , 0       
2028    , 62      , 15.3965   , 58.5125   , 8.3635    , 6       , 0       
2028    , 63      , 15.3384   , 70.1718   , 21.5481   , 7       , 0       
2028    , 64      , 13.7575   , 70.0254   , 21.5288   , 8       , 0       
2028    , 65      , 12.0129   , 81.0083   , 20.8449   , 9       , 0       
2028    , 66      , 11.8933   , 72.3663   , 12.0777   , 10      , 0       
2028    , 67      , 10.3455   , 66.6516   , 6.2235    , 11      , 1       
2028    , 68      , 9.1166    , 58.4584   , 6.4664    , 10      , 1       
2028    , 69      , 9.9367    , 46.3142   , 11.8529   , 9       , 0       
2028    , 70      , 9.2578    , 36.9084   , 5.4584    , 10      , 0       
2028    , 71      , 9.9250    , 34.2057   , 0.0000    , 9       , 1       
