---
NowHeight 5, NowNumRabbits 5, RyegrassGrowsPerMonth 5, OneRabbitsEatsPerMonth 1.0
NowYear, NowMonth, NowPrecip, NowTemp, NowHeight, NowNumRabbits, NowNumMutants
2023    , 0       , 14.2290   , 46.3435   , 1.0243    , 5       , 0       
2023    , 1       , 13.6186   , 54.0908   , 0.0000    , 4       , 0       
2023    , 2       , 16.9366   , 51.5281   , 0.0000    , 3       , 0       
2023    , 3       , 16.0796   , 60.7319   , 0.0000    , 2       , 0       
2023    , 4       , 15.3439   , 73.6901   , 2.7628    , 1       , 0       
2023    , 5       , 13.0889   , 76.6142   , 2.5165    , 2       , 0       
2023    , 6       , 12.6295   , 88.3631   , 0.8302    , 2       , 0       
2023    , 7       , 10.0408   , 76.8564   , 0.0000    , 1       , 0       
2023    , 8       , 8.5642    , 58.0084   , 0.0000    , 0       , 0       
2023    , 9       , 7.1078    , 45.1496   , 3.5762    , 0       , 0       
2023    , 10      , 10.3883   , 38.6025   , 3.9189    , 1       , 0       
2023    , 11      , 10.5685   , 33.8151   , 2.9639    , 2       , 0       
2024    , 12      , 11.4705   , 33.2773   , 0.9686    , 2       , 0       
2024    , 13      , 13.7015   , 55.8364   , 0.0000    , 1       , 0       
2024    , 14      , 17.2202   , 55.0823   , 3.2004    , 0       , 0       
2024    , 15      , 15.0478   , 67.4292   , 6.7396    , 1       , 0       
2024    , 16      , 14.9256   , 76.8932   , 8.5874    , 2       , 0       
2024    , 17      , 14.9264   , 79.1902   , 6.8731    , 3       , 0       
2024    , 18      , 12.0502   , 75.1688   , 3.9978    , 4       , 0       
2024    , 19      , 10.2512   , 74.6770   , 0.4799    , 3       , 0       
2024    , 20      , 9.7024    , 63.1809   , 0.0000    , 2       , 0       
2024    , 21      , 7.5461    , 50.4899   , 1.7568    , 1       , 0       
2024    , 22      , 10.8477   , 52.0124   , 2.0912    , 1       , 0       
2024    , 23      , 12.7620   , 32.0766   , 3.4830    , 2       , 0       
2025    , 24      , 11.3795   , 41.2014   , 1.4850    , 3       , 0       
2025    , 25      , 15.4813   , 39.7021   , 0.0000    , 2       , 0       
2025    , 26      , 15.2593   , 62.6283   , 0.0000    , 1       , 0       
2025    , 27      , 13.9438   , 56.4598   , 3.5929    , 0       , 0       
2025    , 28      , 13.0808   , 73.2962   , 8.0038    , 1       , 0       
2025    , 29      , 14.9178   , 74.0841   , 7.8500    , 2       , 0       
2025    , 30      , 12.3684   , 87.3627   , 6.5321    , 3       , 0       
2025    , 31      , 9.3306    , 69.4755   , 3.5348    , 4       , 0       
2025    , 32      , 9.1773    , 62.6805   , 1.1730    , 3       , 0       
2025    , 33      , 8.8072    , 55.0743   , 1.8607    , 2       , 0       
2025    , 34      , 7.3287    , 46.4900   , 2.8563    , 1       , 0       
2025    , 35      , 12.6921   , 39.4342   , 2.3728    , 2       , 0       
2026    , 36      , 13.9191   , 49.2977   , 0.4443    , 2       , 0       
2026    , 37      , 15.7826   , 41.5437   , 0.0347    , 1       , 0       
2026    , 38      , 15.2799   , 57.6232   , 0.0000    , 0       , 0       
2026    , 39      , 14.5276   , 68.9336   , 4.6486    , 0       , 0       
2026    , 40      , 16.3487   , 72.9442   , 6.8933    , 1       , 0       
2026    , 41      , 12.3566   , 85.9025   , 6.7791    , 2       , 0       
2026    , 42      , 12.5382   , 73.8979   , 4.7850    , 3       , 0       
2026    , 43      , 9.9183    , 71.1493   , 2.4943    , 4       , 0       
